fe,fmu,ftau,chi2,ndof,shape_normalized
0.1666666667,0.1333333333,0.7,0.13520935121805763,25,True
0.1666666667,0.1666666667,0.6666666666666666,0.09237862040578612,25,True
0.1666666667,0.2,0.6333333333333333,0.059416133010200566,25,True
0.1666666667,0.2333333333,0.6,0.034919790545811985,25,True
0.1666666667,0.2666666667,0.5666666666666667,0.01769791335661096,25,True
0.1666666667,0.3,0.5333333333333333,0.006734275759274718,25,True
0.1666666667,0.3333333333,0.5,0.0011595741108227536,25,True
0.1666666667,0.3666666667,0.4666666666666667,0.00022802880609015602,25,True
0.1666666667,0.4,0.43333333333333335,0.003298105563401989,25,True
0.1666666667,0.4333333333,0.4,0.009816560130303612,25,True
0.1666666667,0.4666666667,0.36666666666666664,0.019305177678129077,25,True
0.1666666667,0.5,0.3333333333333333,0.0313497074439588,25,True
0.1666666667,0.5333333333,0.3,0.04559059424710887,25,True
0.1666666667,0.5666666667,0.26666666666666666,0.06171518672527073,25,True
0.1666666667,0.6,0.23333333333333334,0.07945116448236557,25,True
0.1666666667,0.6333333333,0.2,0.09856097546822933,25,True
0.1666666667,0.6666666667,0.16666666666666666,0.11883711326855159,25,True
0.1666666667,0.7,0.13333333333333333,0.1400980956540405,25,True
0.1666666667,0.7333333333,0.1,0.16218503066367979,25,True
0.1666666667,0.7666666667,0.06666666666666667,0.1849586761088436,25,True
0.1666666667,0.8,0.03333333333333333,0.2082969152102354,25,True
0.1666666667,0.8333333333,0.0,0.23209258418493067,25,True
0.2,0.0,0.8,0.4432275916842914,25,True
0.2,0.0333333333,0.7666666666666666,0.3397275334740599,25,True
0.2,0.0666666667,0.7333333333333333,0.25530198122614883,25,True
0.2,0.1,0.7,0.18705501410580852,25,True
0.2,0.1333333333,0.6666666666666666,0.1325698753564509,25,True
0.2,0.1666666667,0.6333333333333333,0.08982049841493518,25,True
0.2,0.2,0.6,0.057101153493883824,25,True
0.2,0.2333333333,0.5666666666666667,0.0329701407977038,25,True
0.2,0.2666666667,0.5333333333333333,0.01620445327553565,25,True
0.2,0.3,0.5,0.005763061857146256,25,True
0.2,0.3333333333,0.4666666666666667,0.0007570230409862827,25,True
0.2,0.3666666667,0.43333333333333335,0.0004250177773319483,25,True
0.2,0.4,0.4,0.004113238089686008,25,True
0.2,0.4333333333,0.36666666666666664,0.011258773612576014,25,True
0.2,0.4666666667,0.3333333333333333,0.021375829870307787,25,True
0.2,0.5,0.3,0.03404424877980357,25,True
0.2,0.5333333333,0.26666666666666666,0.04889990991566265,25,True
0.2,0.5666666667,0.23333333333333334,0.06562667454870477,25,True
0.2,0.6,0.2,0.08394960084069208,25,True
0.2,0.6333333333,0.16666666666666666,0.10362921074619814,25,True
0.2,0.6666666667,0.13333333333333333,0.12445662986388559,25,True
0.2,0.7,0.1,0.14624945496530148,25,True
